"","date","keyword","hits"
"219",2022-03-01,"inflation",60
"220",2022-04-01,"inflation",63
"221",2022-05-01,"inflation",76
"222",2022-06-01,"inflation",100
"223",2022-07-01,"inflation",79
"224",2022-08-01,"inflation",87
"225",2022-09-01,"inflation",80
"226",2022-10-01,"inflation",94
"227",2022-11-01,"inflation",68
"228",2022-12-01,"inflation",47
"229",2023-01-01,"inflation",43
"230",2023-02-01,"inflation",47
"231",2023-03-01,"inflation",43
"232",2023-04-01,"inflation",38
"233",2023-05-01,"inflation",34
"234",2023-06-01,"inflation",27
"235",2023-07-01,"inflation",30
"236",2023-08-01,"inflation",31
"237",2023-09-01,"inflation",34
"238",2023-10-01,"inflation",32
"239",2023-11-01,"inflation",35
"240",2023-12-01,"inflation",32
"241",2024-01-01,"inflation",27
"242",2024-02-01,"inflation",35
"243",2024-03-01,"inflation",35
"244",2024-04-01,"inflation",43
"245",2024-05-01,"inflation",39
"246",2024-06-01,"inflation",30
"247",2004-01-01,"recession",4
"248",2004-02-01,"recession",3
"249",2004-03-01,"recession",6
"250",2004-04-01,"recession",6
"251",2004-05-01,"recession",5
"252",2004-06-01,"recession",3
"253",2004-07-01,"recession",3
"254",2004-08-01,"recession",4
"255",2004-09-01,"recession",4
"256",2004-10-01,"recession",6
"257",2004-11-01,"recession",6
"258",2004-12-01,"recession",4
"259",2005-01-01,"recession",2
"260",2005-02-01,"recession",3
"261",2005-03-01,"recession",4
"262",2005-04-01,"recession",4
"263",2005-05-01,"recession",3
"264",2005-06-01,"recession",3
"265",2005-07-01,"recession",2
"266",2005-08-01,"recession",3
"267",2005-09-01,"recession",6
"268",2005-10-01,"recession",5
"269",2005-11-01,"recession",4
"270",2005-12-01,"recession",4
"271",2006-01-01,"recession",5
"272",2006-02-01,"recession",4
"273",2006-03-01,"recession",4
"274",2006-04-01,"recession",4
"275",2006-05-01,"recession",5
"276",2006-06-01,"recession",4
"277",2006-07-01,"recession",3
"278",2006-08-01,"recession",6
"279",2006-09-01,"recession",6
"280",2006-10-01,"recession",5
"281",2006-11-01,"recession",5
"282",2006-12-01,"recession",4
"283",2007-01-01,"recession",3
"284",2007-02-01,"recession",8
"285",2007-03-01,"recession",8
"286",2007-04-01,"recession",5
"287",2007-05-01,"recession",4
"288",2007-06-01,"recession",3
"289",2007-07-01,"recession",2
"290",2007-08-01,"recession",8
"291",2007-09-01,"recession",14
"292",2007-10-01,"recession",11
"293",2007-11-01,"recession",19
"294",2007-12-01,"recession",16
"295",2008-01-01,"recession",73
"296",2008-02-01,"recession",35
"297",2008-03-01,"recession",42
"298",2008-04-01,"recession",37
"299",2008-05-01,"recession",22
"300",2008-06-01,"recession",15
"301",2008-07-01,"recession",16
"302",2008-08-01,"recession",10
"303",2008-09-01,"recession",25
"304",2008-10-01,"recession",51
"305",2008-11-01,"recession",42
"306",2008-12-01,"recession",53
"307",2009-01-01,"recession",37
"308",2009-02-01,"recession",48
"309",2009-03-01,"recession",45
"310",2009-04-01,"recession",32
"311",2009-05-01,"recession",25
"312",2009-06-01,"recession",18
"313",2009-07-01,"recession",20
"314",2009-08-01,"recession",18
"315",2009-09-01,"recession",21
"316",2009-10-01,"recession",21
"317",2009-11-01,"recession",21
"318",2009-12-01,"recession",18
"319",2010-01-01,"recession",14
"320",2010-02-01,"recession",15
"321",2010-03-01,"recession",15
"322",2010-04-01,"recession",16
"323",2010-05-01,"recession",13
"324",2010-06-01,"recession",11
"325",2010-07-01,"recession",12
"326",2010-08-01,"recession",13
"327",2010-09-01,"recession",17
"328",2010-10-01,"recession",13
"329",2010-11-01,"recession",13
"330",2010-12-01,"recession",11
"331",2011-01-01,"recession",9
"332",2011-02-01,"recession",10
"333",2011-03-01,"recession",11
"334",2011-04-01,"recession",11
"335",2011-05-01,"recession",9
"336",2011-06-01,"recession",10
"337",2011-07-01,"recession",9
"338",2011-08-01,"recession",21
"339",2011-09-01,"recession",15
"340",2011-10-01,"recession",15
"341",2011-11-01,"recession",12
"342",2011-12-01,"recession",9
"343",2012-01-01,"recession",7
"344",2012-02-01,"recession",8
"345",2012-03-01,"recession",8
"346",2012-04-01,"recession",10
"347",2012-05-01,"recession",9
"348",2012-06-01,"recession",7
"349",2012-07-01,"recession",7
"350",2012-08-01,"recession",7
"351",2012-09-01,"recession",9
"352",2012-10-01,"recession",10
"353",2012-11-01,"recession",11
"354",2012-12-01,"recession",7
"355",2013-01-01,"recession",6
"356",2013-02-01,"recession",7
"357",2013-03-01,"recession",6
"358",2013-04-01,"recession",7
"359",2013-05-01,"recession",6
"360",2013-06-01,"recession",4
"361",2013-07-01,"recession",4
"362",2013-08-01,"recession",4
"363",2013-09-01,"recession",6
"364",2013-10-01,"recession",6
"365",2013-11-01,"recession",6
"366",2013-12-01,"recession",5
"367",2014-01-01,"recession",5
"368",2014-02-01,"recession",5
"369",2014-03-01,"recession",5
"370",2014-04-01,"recession",7
"371",2014-05-01,"recession",6
"372",2014-06-01,"recession",4
"373",2014-07-01,"recession",4
"374",2014-08-01,"recession",3
"375",2014-09-01,"recession",5
"376",2014-10-01,"recession",6
"377",2014-11-01,"recession",7
"378",2014-12-01,"recession",6
"379",2015-01-01,"recession",5
"380",2015-02-01,"recession",6
"381",2015-03-01,"recession",6
"382",2015-04-01,"recession",7
"383",2015-05-01,"recession",6
"384",2015-06-01,"recession",4
"385",2015-07-01,"recession",4
"386",2015-08-01,"recession",7
"387",2015-09-01,"recession",8
"388",2015-10-01,"recession",7
"389",2015-11-01,"recession",6
"390",2015-12-01,"recession",7
"391",2016-01-01,"recession",10
"392",2016-02-01,"recession",11
"393",2016-03-01,"recession",8
"394",2016-04-01,"recession",10
"395",2016-05-01,"recession",8
"396",2016-06-01,"recession",7
"397",2016-07-01,"recession",5
"398",2016-08-01,"recession",5
"399",2016-09-01,"recession",7
"400",2016-10-01,"recession",8
"401",2016-11-01,"recession",10
"402",2016-12-01,"recession",6
"403",2017-01-01,"recession",6
"404",2017-02-01,"recession",7
"405",2017-03-01,"recession",7
"406",2017-04-01,"recession",7
"407",2017-05-01,"recession",7
"408",2017-06-01,"recession",5
"409",2017-07-01,"recession",5
"410",2017-08-01,"recession",4
"411",2017-09-01,"recession",5
"412",2017-10-01,"recession",6
"413",2017-11-01,"recession",6
"414",2017-12-01,"recession",6
"415",2018-01-01,"recession",6
"416",2018-02-01,"recession",9
"417",2018-03-01,"recession",7
"418",2018-04-01,"recession",8
"419",2018-05-01,"recession",8
"420",2018-06-01,"recession",10
"421",2018-07-01,"recession",8
"422",2018-08-01,"recession",8
"423",2018-09-01,"recession",10
"424",2018-10-01,"recession",11
"425",2018-11-01,"recession",12
"426",2018-12-01,"recession",19
"427",2019-01-01,"recession",12
"428",2019-02-01,"recession",11
"429",2019-03-01,"recession",14
"430",2019-04-01,"recession",11
"431",2019-05-01,"recession",11
"432",2019-06-01,"recession",9
"433",2019-07-01,"recession",11
"434",2019-08-01,"recession",54
"435",2019-09-01,"recession",21
"436",2019-10-01,"recession",16
"437",2019-11-01,"recession",12
"438",2019-12-01,"recession",10
"439",2020-01-01,"recession",10
"440",2020-02-01,"recession",15
"441",2020-03-01,"recession",76
"442",2020-04-01,"recession",36
"443",2020-05-01,"recession",17
"444",2020-06-01,"recession",16
"445",2020-07-01,"recession",10
"446",2020-08-01,"recession",10
"447",2020-09-01,"recession",9
"448",2020-10-01,"recession",8
"449",2020-11-01,"recession",8
"450",2020-12-01,"recession",6
"451",2021-01-01,"recession",6
"452",2021-02-01,"recession",6
"453",2021-03-01,"recession",5
"454",2021-04-01,"recession",5
"455",2021-05-01,"recession",6
"456",2021-06-01,"recession",4
"457",2021-07-01,"recession",4
"458",2021-08-01,"recession",3
"459",2021-09-01,"recession",5
"460",2021-10-01,"recession",6
"461",2021-11-01,"recession",6
"462",2021-12-01,"recession",5
"463",2022-01-01,"recession",8
"464",2022-02-01,"recession",10
"465",2022-03-01,"recession",21
"466",2022-04-01,"recession",36
"467",2022-05-01,"recession",53
"468",2022-06-01,"recession",100
"469",2022-07-01,"recession",83
"470",2022-08-01,"recession",34
"471",2022-09-01,"recession",30
"472",2022-10-01,"recession",40
"473",2022-11-01,"recession",32
"474",2022-12-01,"recession",26
"475",2023-01-01,"recession",26
"476",2023-02-01,"recession",20
"477",2023-03-01,"recession",26
"478",2023-04-01,"recession",24
"479",2023-05-01,"recession",24
"480",2023-06-01,"recession",15
"481",2023-07-01,"recession",13
"482",2023-08-01,"recession",15
"483",2023-09-01,"recession",14
"484",2023-10-01,"recession",14
"485",2023-11-01,"recession",12
"486",2023-12-01,"recession",10
"487",2024-01-01,"recession",9
"488",2024-02-01,"recession",13
"489",2024-03-01,"recession",10
"490",2024-04-01,"recession",10
"491",2024-05-01,"recession",9
"492",2024-06-01,"recession",8
"493",2004-01-01,"prices",45
"494",2004-02-01,"prices",44
"495",2004-03-01,"prices",45
"496",2004-04-01,"prices",51
"497",2004-05-01,"prices",46
"498",2004-06-01,"prices",32
"499",2004-07-01,"prices",31
"500",2004-08-01,"prices",30
"501",2004-09-01,"prices",31
"502",2004-10-01,"prices",39
"503",2004-11-01,"prices",40
"504",2004-12-01,"prices",31
"505",2005-01-01,"prices",31
"506",2005-02-01,"prices",41
"507",2005-03-01,"prices",46
"508",2005-04-01,"prices",52
"509",2005-05-01,"prices",32
"510",2005-06-01,"prices",30
"511",2005-07-01,"prices",30
"512",2005-08-01,"prices",40
"513",2005-09-01,"prices",57
"514",2005-10-01,"prices",39
"515",2005-11-01,"prices",35
"516",2005-12-01,"prices",29
"517",2006-01-01,"prices",34
"518",2006-02-01,"prices",38
"519",2006-03-01,"prices",39
"520",2006-04-01,"prices",49
"521",2006-05-01,"prices",41
"522",2006-06-01,"prices",27
"523",2006-07-01,"prices",33
"524",2006-08-01,"prices",30
"525",2006-09-01,"prices",40
"526",2006-10-01,"prices",34
"527",2006-11-01,"prices",30
"528",2006-12-01,"prices",28
"529",2007-01-01,"prices",28
"530",2007-02-01,"prices",38
"531",2007-03-01,"prices",37
"532",2007-04-01,"prices",39
"533",2007-05-01,"prices",37
"534",2007-06-01,"prices",27
"535",2007-07-01,"prices",28
"536",2007-08-01,"prices",29
"537",2007-09-01,"prices",28
"538",2007-10-01,"prices",31
"539",2007-11-01,"prices",35
"540",2007-12-01,"prices",33
"541",2008-01-01,"prices",38
"542",2008-02-01,"prices",38
"543",2008-03-01,"prices",55
"544",2008-04-01,"prices",57
"545",2008-05-01,"prices",58
"546",2008-06-01,"prices",51
"547",2008-07-01,"prices",51
"548",2008-08-01,"prices",38
"549",2008-09-01,"prices",80
"550",2008-10-01,"prices",100
"551",2008-11-01,"prices",71
"552",2008-12-01,"prices",54
"553",2009-01-01,"prices",45
"554",2009-02-01,"prices",48
"555",2009-03-01,"prices",50
"556",2009-04-01,"prices",42
"557",2009-05-01,"prices",37
"558",2009-06-01,"prices",32
"559",2009-07-01,"prices",29
"560",2009-08-01,"prices",27
"561",2009-09-01,"prices",31
"562",2009-10-01,"prices",32
"563",2009-11-01,"prices",31
"564",2009-12-01,"prices",28
"565",2010-01-01,"prices",29
"566",2010-02-01,"prices",31
"567",2010-03-01,"prices",33
"568",2010-04-01,"prices",34
"569",2010-05-01,"prices",31
"570",2010-06-01,"prices",22
"571",2010-07-01,"prices",22
"572",2010-08-01,"prices",20
"573",2010-09-01,"prices",23
"574",2010-10-01,"prices",24
"575",2010-11-01,"prices",27
"576",2010-12-01,"prices",24
"577",2011-01-01,"prices",32
"578",2011-02-01,"prices",40
"579",2011-03-01,"prices",46
"580",2011-04-01,"prices",47
"581",2011-05-01,"prices",40
"582",2011-06-01,"prices",31
"583",2011-07-01,"prices",28
"584",2011-08-01,"prices",41
"585",2011-09-01,"prices",31
"586",2011-10-01,"prices",32
"587",2011-11-01,"prices",27
"588",2011-12-01,"prices",24
"589",2012-01-01,"prices",28
"590",2012-02-01,"prices",37
"591",2012-03-01,"prices",43
"592",2012-04-01,"prices",36
"593",2012-05-01,"prices",29
"594",2012-06-01,"prices",28
"595",2012-07-01,"prices",26
"596",2012-08-01,"prices",27
"597",2012-09-01,"prices",30
"598",2012-10-01,"prices",36
"599",2012-11-01,"prices",34
"600",2012-12-01,"prices",23
"601",2013-01-01,"prices",27
"602",2013-02-01,"prices",30
"603",2013-03-01,"prices",30
"604",2013-04-01,"prices",32
"605",2013-05-01,"prices",29
"606",2013-06-01,"prices",26
"607",2013-07-01,"prices",27
"608",2013-08-01,"prices",23
"609",2013-09-01,"prices",25
"610",2013-10-01,"prices",27
"611",2013-11-01,"prices",24
"612",2013-12-01,"prices",23
"613",2014-01-01,"prices",25
"614",2014-02-01,"prices",28
"615",2014-03-01,"prices",26
"616",2014-04-01,"prices",29
"617",2014-05-01,"prices",25
"618",2014-06-01,"prices",24
"619",2014-07-01,"prices",23
"620",2014-08-01,"prices",21
"621",2014-09-01,"prices",23
"622",2014-10-01,"prices",31
"623",2014-11-01,"prices",29
"624",2014-12-01,"prices",40
"625",2015-01-01,"prices",45
"626",2015-02-01,"prices",35
"627",2015-03-01,"prices",37
"628",2015-04-01,"prices",33
"629",2015-05-01,"prices",29
"630",2015-06-01,"prices",28
"631",2015-07-01,"prices",33
"632",2015-08-01,"prices",39
"633",2015-09-01,"prices",30
"634",2015-10-01,"prices",32
"635",2015-11-01,"prices",29
"636",2015-12-01,"prices",33
"637",2016-01-01,"prices",44
"638",2016-02-01,"prices",42
"639",2016-03-01,"prices",36
"640",2016-04-01,"prices",34
"641",2016-05-01,"prices",32
"642",2016-06-01,"prices",32
"643",2016-07-01,"prices",32
"644",2016-08-01,"prices",26
"645",2016-09-01,"prices",28
"646",2016-10-01,"prices",30
"647",2016-11-01,"prices",35
"648",2016-12-01,"prices",30
"649",2017-01-01,"prices",30
"650",2017-02-01,"prices",28
"651",2017-03-01,"prices",30
"652",2017-04-01,"prices",30
"653",2017-05-01,"prices",28
"654",2017-06-01,"prices",29
"655",2017-07-01,"prices",29
"656",2017-08-01,"prices",28
"657",2017-09-01,"prices",25
"658",2017-10-01,"prices",25
"659",2017-11-01,"prices",27
"660",2017-12-01,"prices",29
"661",2018-01-01,"prices",31
"662",2018-02-01,"prices",33
"663",2018-03-01,"prices",30
"664",2018-04-01,"prices",28
"665",2018-05-01,"prices",30
"666",2018-06-01,"prices",27
"667",2018-07-01,"prices",28
"668",2018-08-01,"prices",26
"669",2018-09-01,"prices",26
"670",2018-10-01,"prices",28
"671",2018-11-01,"prices",31
"672",2018-12-01,"prices",30
"673",2019-01-01,"prices",28
"674",2019-02-01,"prices",27
"675",2019-03-01,"prices",27
"676",2019-04-01,"prices",26
"677",2019-05-01,"prices",29
"678",2019-06-01,"prices",27
"679",2019-07-01,"prices",25
"680",2019-08-01,"prices",27
"681",2019-09-01,"prices",25
"682",2019-10-01,"prices",23
"683",2019-11-01,"prices",21
"684",2019-12-01,"prices",22
"685",2020-01-01,"prices",25
"686",2020-02-01,"prices",31
"687",2020-03-01,"prices",83
"688",2020-04-01,"prices",75
"689",2020-05-01,"prices",37
"690",2020-06-01,"prices",33
"691",2020-07-01,"prices",32
"692",2020-08-01,"prices",29
"693",2020-09-01,"prices",26
"694",2020-10-01,"prices",28
"695",2020-11-01,"prices",41
"696",2020-12-01,"prices",25
"697",2021-01-01,"prices",34
"698",2021-02-01,"prices",38
"699",2021-03-01,"prices",35
"700",2021-04-01,"prices",29
"701",2021-05-01,"prices",34
"702",2021-06-01,"prices",30
"703",2021-07-01,"prices",28
"704",2021-08-01,"prices",25
"705",2021-09-01,"prices",25
"706",2021-10-01,"prices",32
"707",2021-11-01,"prices",30
"708",2021-12-01,"prices",28
"709",2022-01-01,"prices",29
"710",2022-02-01,"prices",40
"711",2022-03-01,"prices",98
"712",2022-04-01,"prices",41
"713",2022-05-01,"prices",50
"714",2022-06-01,"prices",59
"715",2022-07-01,"prices",44
"716",2022-08-01,"prices",33
"717",2022-09-01,"prices",28
"718",2022-10-01,"prices",34
"719",2022-11-01,"prices",33
"720",2022-12-01,"prices",27
"721",2023-01-01,"prices",27
"722",2023-02-01,"prices",27
"723",2023-03-01,"prices",27
"724",2023-04-01,"prices",25
"725",2023-05-01,"prices",23
"726",2023-06-01,"prices",23
"727",2023-07-01,"prices",26
"728",2023-08-01,"prices",24
"729",2023-09-01,"prices",24
"730",2023-10-01,"prices",25
"731",2023-11-01,"prices",24
"732",2023-12-01,"prices",24
"733",2024-01-01,"prices",24
"734",2024-02-01,"prices",22
"735",2024-03-01,"prices",25
"736",2024-04-01,"prices",31
"737",2024-05-01,"prices",23
"738",2024-06-01,"prices",22
"739",2004-01-01,"interest rates",15
"740",2004-02-01,"interest rates",13
"741",2004-03-01,"interest rates",17
"742",2004-04-01,"interest rates",27
"743",2004-05-01,"interest rates",25
"744",2004-06-01,"interest rates",27
"745",2004-07-01,"interest rates",17
"746",2004-08-01,"interest rates",12
"747",2004-09-01,"interest rates",18
"748",2004-10-01,"interest rates",13
"749",2004-11-01,"interest rates",24
"750",2004-12-01,"interest rates",18
"751",2005-01-01,"interest rates",15
"752",2005-02-01,"interest rates",20
"753",2005-03-01,"interest rates",25
"754",2005-04-01,"interest rates",21
"755",2005-05-01,"interest rates",19
"756",2005-06-01,"interest rates",19
"757",2005-07-01,"interest rates",15
"758",2005-08-01,"interest rates",18
"759",2005-09-01,"interest rates",21
"760",2005-10-01,"interest rates",14
"761",2005-11-01,"interest rates",18
"762",2005-12-01,"interest rates",15
"763",2006-01-01,"interest rates",18
"764",2006-02-01,"interest rates",16
"765",2006-03-01,"interest rates",19
"766",2006-04-01,"interest rates",19
"767",2006-05-01,"interest rates",22
"768",2006-06-01,"interest rates",22
"769",2006-07-01,"interest rates",17
"770",2006-08-01,"interest rates",17
"771",2006-09-01,"interest rates",16
"772",2006-10-01,"interest rates",15
"773",2006-11-01,"interest rates",16
"774",2006-12-01,"interest rates",13
"775",2007-01-01,"interest rates",14
"776",2007-02-01,"interest rates",13
"777",2007-03-01,"interest rates",20
"778",2007-04-01,"interest rates",17
"779",2007-05-01,"interest rates",13
"780",2007-06-01,"interest rates",16
"781",2007-07-01,"interest rates",11
"782",2007-08-01,"interest rates",20
"783",2007-09-01,"interest rates",33
"784",2007-10-01,"interest rates",23
"785",2007-11-01,"interest rates",21
"786",2007-12-01,"interest rates",19
"787",2008-01-01,"interest rates",46
"788",2008-02-01,"interest rates",29
"789",2008-03-01,"interest rates",35
"790",2008-04-01,"interest rates",21
"791",2008-05-01,"interest rates",15
"792",2008-06-01,"interest rates",17
"793",2008-07-01,"interest rates",13
"794",2008-08-01,"interest rates",11
"795",2008-09-01,"interest rates",20
"796",2008-10-01,"interest rates",27
"797",2008-11-01,"interest rates",16
"798",2008-12-01,"interest rates",27
"799",2009-01-01,"interest rates",19
"800",2009-02-01,"interest rates",21
"801",2009-03-01,"interest rates",18
"802",2009-04-01,"interest rates",13
"803",2009-05-01,"interest rates",12
"804",2009-06-01,"interest rates",18
"805",2009-07-01,"interest rates",9
"806",2009-08-01,"interest rates",11
"807",2009-09-01,"interest rates",10
"808",2009-10-01,"interest rates",12
"809",2009-11-01,"interest rates",11
"810",2009-12-01,"interest rates",11
"811",2010-01-01,"interest rates",11
"812",2010-02-01,"interest rates",13
"813",2010-03-01,"interest rates",11
"814",2010-04-01,"interest rates",14
"815",2010-05-01,"interest rates",9
"816",2010-06-01,"interest rates",9
"817",2010-07-01,"interest rates",8
"818",2010-08-01,"interest rates",9
"819",2010-09-01,"interest rates",10
"820",2010-10-01,"interest rates",11
"821",2010-11-01,"interest rates",13
"822",2010-12-01,"interest rates",13
"823",2011-01-01,"interest rates",10
"824",2011-02-01,"interest rates",12
"825",2011-03-01,"interest rates",10
"826",2011-04-01,"interest rates",13
"827",2011-05-01,"interest rates",9
"828",2011-06-01,"interest rates",9
"829",2011-07-01,"interest rates",9
"830",2011-08-01,"interest rates",14
"831",2011-09-01,"interest rates",10
"832",2011-10-01,"interest rates",9
"833",2011-11-01,"interest rates",8
"834",2011-12-01,"interest rates",8
"835",2012-01-01,"interest rates",9
"836",2012-02-01,"interest rates",9
"837",2012-03-01,"interest rates",9
"838",2012-04-01,"interest rates",10
"839",2012-05-01,"interest rates",8
"840",2012-06-01,"interest rates",9
"841",2012-07-01,"interest rates",7
"842",2012-08-01,"interest rates",7
"843",2012-09-01,"interest rates",11
"844",2012-10-01,"interest rates",9
